Student ID,First Name,Last Name,CNIC,Email,Phone Number,Credit Hours,CGPA
72K-3024,Stephen,Martinez,99878-0903031-0,zperez@gmail.com,+92 2755799830,106,2.4
68K-4459,Ryan,Stewart,47792-4647213-6,robinsonalexander@gmail.com,+92 8810632317,128,3.92
18K-8968,Joshua,Alvarado,84455-3479616-1,bellchelsea@gmail.com,+92 6023050380,106,3.11
30K-4831,Christopher,Jackson,59081-4158330-3,phunt@gmail.com,+92 8628814063,53,2.38
10K-7943,Marcus,Rowe,33988-4186993-0,billy17@gmail.com,+92 2302805497,63,3.3
09K-1695,Francis,Ingram,12439-2651470-0,oblevins@gmail.com,+92 6776017713,98,2.1
38K-6636,Joseph,David,68423-5419632-6,victoria20@gmail.com,+92 0398405798,121,2.17
48K-2797,Laura,Johnson,94345-5506236-5,smorgan@gmail.com,+92 3954734067,59,3.25
55K-9204,Christopher,Robles,70442-6495036-8,yparker@gmail.com,+92 0301325576,85,2.7
12K-4348,Paul,Cooper,64772-5496467-2,lewiskimberly@gmail.com,+92 1838574827,109,2.5
69K-2128,Colleen,Ruiz,73142-9333273-6,fallen@gmail.com,+92 9999990227,128,2.13
09K-3322,Ronald,Gonzalez,42884-1057681-7,thorntonjesse@gmail.com,+92 5334183177,114,2.73
20K-1482,Kathryn,Nguyen,34966-0176538-6,deborah39@gmail.com,+92 9613997531,50,3.13
63K-8809,Nicole,Keith,80721-3578516-6,rickey10@gmail.com,+92 2056704180,105,2.19
89K-4529,Paul,Berger,10931-0300434-8,rhondamartinez@gmail.com,+92 3703834224,67,2.84
89K-7182,Stephanie,Dillon,39927-9204211-6,rickyleonard@gmail.com,+92 7775530607,108,3.84
93K-3342,Sheila,Johnson,78280-8947439-7,uyates@gmail.com,+92 0327565775,68,2.75
44K-7325,Monica,Miller,16620-1744022-4,tylergonzales@gmail.com,+92 3325530601,52,2.93
02K-2302,Caitlyn,Stuart,81782-5135170-8,tylerbarrera@gmail.com,+92 5072071579,70,3.12
74K-7570,Joseph,Calhoun,12603-9579395-4,jmcdonald@gmail.com,+92 4149681003,39,3.49
37K-6707,Debra,Henderson,45276-4244132-6,jonesnicholas@gmail.com,+92 7794963361,70,2.81
81K-7037,Brianna,Baker,54201-2532478-0,misty22@gmail.com,+92 6404205025,77,2.55
44K-4081,Alexander,Diaz,47106-1802417-7,ochoachristopher@gmail.com,+92 9331837907,97,2.18
79K-4319,Brianna,Smith,98361-0037609-1,djohnson@gmail.com,+92 0062261566,73,2.36
16K-9597,Rebecca,Gould,40112-3730956-0,april55@gmail.com,+92 6093285026,40,2.52
88K-0885,Norma,Johnston,70908-1940764-5,stevenkelley@gmail.com,+92 5293976850,105,2.5
63K-1026,Edgar,Jackson,24241-9436538-4,chelsea37@gmail.com,+92 7277022454,67,3.46
45K-7735,Roy,Mckinney,61365-4260292-7,anna31@gmail.com,+92 5546743385,29,3.51
67K-9412,Heather,Jennings,16805-4156790-5,tammy22@gmail.com,+92 8291583871,129,3.35
62K-5139,Chad,Anderson,37315-8166147-2,audrey01@gmail.com,+92 2854822658,48,2.99
70K-3449,Emily,Parks,40582-9513269-5,derek43@gmail.com,+92 8855233062,43,2.71
38K-4232,Samantha,Smith,66205-5118705-1,morrowashley@gmail.com,+92 7773575361,79,3.38
66K-9527,Craig,Bates,59063-3492744-5,portercharles@gmail.com,+92 5354928766,72,3.74
93K-2273,Marco,Adkins,43146-7279484-6,michael52@gmail.com,+92 1210823343,80,2.96
45K-9944,Tim,Blanchard,57479-1173873-1,justin26@gmail.com,+92 7371656976,105,2.63
37K-4813,David,Jennings,68217-6717689-5,michaelrogers@gmail.com,+92 7852924077,98,3.67
93K-6913,Brenda,Terry,26023-1254806-5,shepherdchad@gmail.com,+92 7462239376,49,3.64
89K-6685,Frank,James,31511-0347691-7,david78@gmail.com,+92 4550086119,75,3.61
72K-9091,Jesse,Jackson,23335-4747269-9,ofranklin@gmail.com,+92 6511184292,104,3.57
98K-5751,Patrick,Castro,45809-0466830-7,brenda87@gmail.com,+92 1113663414,65,3.6
52K-5451,Tanya,Richmond,55009-8743874-7,umalone@gmail.com,+92 0117890120,122,3.22
77K-1075,Peter,Pierce,65096-5626764-4,pagemax@gmail.com,+92 9577347383,38,2.42
34K-2639,Justin,Acosta,89823-7913390-4,kimberlydyer@gmail.com,+92 7569922327,53,2.44
80K-8037,Austin,Nelson,90020-6074408-4,kylecontreras@gmail.com,+92 2041966231,19,2.9
30K-1489,Jonathan,Torres,38971-9191775-6,colehall@gmail.com,+92 7027971454,84,3.89
72K-8962,Shelley,Morales,83143-6749825-2,rowlandraymond@gmail.com,+92 3261641792,95,2.42
15K-9297,Maria,Martin,14329-6336411-7,stevenwhite@gmail.com,+92 9424147150,130,3.42
27K-7216,Yolanda,Hall,66643-9693794-3,xbrown@gmail.com,+92 9433421194,72,3.59
72K-9421,Nicholas,Wood,41850-4574148-3,zdavis@gmail.com,+92 2547069059,38,3.47
18K-2404,Richard,Prince,37336-3387046-1,juankim@gmail.com,+92 3399843364,81,3.26
73K-1937,Angela,Rosario,85715-9171902-9,kyledavis@gmail.com,+92 4152867675,110,3.0
90K-2843,Mary,Fisher,13627-0047656-1,richardnunez@gmail.com,+92 5120796785,56,3.59
11K-1198,Patrick,White,64052-1790043-5,stephanie67@gmail.com,+92 7521819825,59,3.85
05K-7758,Ashley,James,92534-3430535-3,kylejohnson@gmail.com,+92 3223966380,76,3.31
13K-8463,Seth,Tate,15071-1864146-0,bridget70@gmail.com,+92 3812598999,53,2.69
87K-3750,Barbara,Williams,44908-1192342-5,garciasheryl@gmail.com,+92 7528450360,69,2.14
01K-4774,Meghan,Jackson,80329-8961096-4,ohill@gmail.com,+92 8047358393,123,2.2
53K-1578,Jason,Smith,51135-5187658-3,boothdiana@gmail.com,+92 6296440397,77,3.9
08K-6769,Julie,Moore,79753-6259265-9,victoria45@gmail.com,+92 5970772053,53,3.64
51K-1544,Angela,Watson,84218-1692856-4,rebeccagreene@gmail.com,+92 3932375512,26,3.31
15K-5379,Tonya,Kaufman,86878-8071135-4,kimgabrielle@gmail.com,+92 3690745808,79,3.98
28K-4201,Bridget,Graham,83301-2973927-7,trujillogregory@gmail.com,+92 2289169013,85,3.56
45K-1132,Cody,Glenn,28851-7892364-3,robert19@gmail.com,+92 8318359208,108,3.77
96K-4104,Keith,Perez,37845-9460422-4,shorn@gmail.com,+92 2756422712,74,2.6
07K-0526,Derek,Burton,45702-2502914-7,stephanierogers@gmail.com,+92 8292285499,101,2.95
11K-7693,Elizabeth,Gallagher,17994-8388939-4,murrayjason@gmail.com,+92 3987445452,26,3.34
03K-3483,Emily,Pope,72171-8400752-2,michael89@gmail.com,+92 3908884573,60,2.16
44K-5396,Eric,Martin,15627-6077308-1,mgross@gmail.com,+92 5963622823,114,3.68
23K-9947,Sierra,Weaver,78206-2636081-1,aaronjohnson@gmail.com,+92 6711855791,105,2.23
13K-3723,Shawn,Atkinson,37469-1349372-3,denise16@gmail.com,+92 3100822870,42,2.44
14K-0216,William,Mcgee,28625-1834078-3,wellsmark@gmail.com,+92 3313574548,130,3.59
65K-4684,Daniel,Gutierrez,29656-8964021-0,owensjames@gmail.com,+92 0775282946,30,2.94
70K-9582,Sheila,Perez,30624-5387187-0,danny64@gmail.com,+92 1062071845,69,3.7
53K-5795,Katherine,Mckee,87306-7222633-4,ortizfrank@gmail.com,+92 8377791652,100,2.24
19K-6918,Raymond,Stevens,92728-6549216-0,hgraham@gmail.com,+92 5448085123,64,3.75
16K-5817,Paul,Gray,41923-6646904-0,michaelmartin@gmail.com,+92 9518643030,85,2.29
57K-7860,Stephanie,Hernandez,76645-7829316-3,zprice@gmail.com,+92 2320546363,103,2.13
89K-4132,Jodi,Hughes,87603-4745970-9,davidjordan@gmail.com,+92 2190761199,77,2.32
40K-5050,James,Lee,31140-4866067-3,taylor43@gmail.com,+92 8029367474,60,3.32
37K-1859,Michelle,Craig,24359-6070014-5,ncastillo@gmail.com,+92 9963203649,85,3.61
88K-5110,Amy,Spencer,63766-3601363-6,fjones@gmail.com,+92 1931057672,91,3.31
77K-3091,Bobby,Morris,79908-3165349-4,xellis@gmail.com,+92 4949924097,52,2.6
78K-1646,Monica,Bauer,90739-4075970-0,salinasgabriel@gmail.com,+92 1038323612,48,2.74
06K-3401,Anna,Bryant,81248-8271996-3,aaronclark@gmail.com,+92 8823519780,67,3.39
28K-0310,Victoria,Moore,89177-1704154-8,patriciacarter@gmail.com,+92 8512528439,125,2.7
27K-0721,Samuel,Vega,77481-6041045-4,ian04@gmail.com,+92 6922050853,111,2.7
34K-4301,Madison,Ramsey,28842-8102923-3,jeremy19@gmail.com,+92 3998915938,114,3.24
33K-6201,Tony,Lynn,38425-8118769-8,davidrodriguez@gmail.com,+92 5674673277,105,3.47
93K-7782,Barry,Jones,74360-3648583-2,vjohnson@gmail.com,+92 5089373698,88,2.21
80K-4854,Shelley,Barnes,18710-6828572-1,garrettphillip@gmail.com,+92 6174573319,99,3.29
32K-8979,Felicia,Higgins,69140-0383369-5,zwest@gmail.com,+92 7604632057,78,2.66
33K-3467,Hunter,Robinson,84134-1864680-0,cohencasey@gmail.com,+92 8593079495,110,3.43
39K-4060,Marc,Young,74156-7317051-4,tanya45@gmail.com,+92 9166315956,69,3.72
86K-5332,Kara,Allen,78565-3414834-7,jessica05@gmail.com,+92 7794162287,84,3.38
80K-3034,Daniel,Ramos,23372-6568669-7,dhernandez@gmail.com,+92 7901189392,86,2.39
51K-7842,Jennifer,Williams,45692-4105787-9,christine84@gmail.com,+92 4269476503,22,3.8
91K-1237,Andre,Williamson,38172-2531660-1,fdyer@gmail.com,+92 5952755586,28,2.91
55K-7367,Ryan,Harris,74712-6049320-1,kyle41@gmail.com,+92 9833430301,83,2.63
33K-4432,Spencer,Murray,91429-5816022-4,howederek@gmail.com,+92 4404369344,18,3.75
68K-4471,Ryan,Watkins,32664-6881915-6,comptonheather@gmail.com,+92 6387519908,23,3.2
60K-2382,Julie,Simpson,94430-0152403-9,rodriguezdaniel@gmail.com,+92 0334379942,108,3.51
12K-8589,Todd,Berry,43003-4693735-4,gloria28@gmail.com,+92 2462328160,94,2.59
40K-0763,Susan,Atkins,97001-4161613-6,angela82@gmail.com,+92 0201349041,106,3.6
02K-9587,Sean,Davis,92210-9700530-0,william22@gmail.com,+92 4902544219,18,3.46
58K-1769,Travis,Montgomery,89898-9470764-4,janehill@gmail.com,+92 4030032940,18,2.35
61K-4795,Gina,Kirk,65149-4204141-6,kimberly43@gmail.com,+92 2373132926,72,2.94
98K-7848,Thomas,Thompson,44491-8703712-1,karen91@gmail.com,+92 9444432495,124,2.63
76K-6001,Lori,Henderson,50383-4426173-5,jasonfowler@gmail.com,+92 5127978829,74,2.86
13K-8683,Heather,Reyes,82372-4116260-7,yjacobs@gmail.com,+92 8460162328,99,2.58
61K-7564,Rebecca,Young,19075-3759207-6,rwilliams@gmail.com,+92 5239942169,44,3.93
27K-1321,Jacqueline,Vaughan,17375-7752060-9,taylorjeffrey@gmail.com,+92 9825333276,130,3.73
77K-5967,Charles,White,96314-5806983-2,mariah65@gmail.com,+92 6706479757,43,3.33
69K-7000,Patricia,Flores,72456-1505046-3,xward@gmail.com,+92 4523883227,70,2.98
88K-8647,Abigail,Walters,66057-5621777-5,kellykline@gmail.com,+92 6199248543,32,3.11
61K-3725,Tracy,Dixon,94663-4030712-4,seanmiller@gmail.com,+92 4765661434,46,2.21
05K-7398,Anthony,Green,43339-6550356-4,brendamunoz@gmail.com,+92 0634498458,31,3.3
89K-8090,Justin,Graham,19189-6006669-4,oweiss@gmail.com,+92 0164652941,77,2.99
30K-4534,Johnny,Wood,36401-4198007-4,matkins@gmail.com,+92 7626525956,52,2.25
44K-3118,Anthony,Allen,19484-3074737-9,ograham@gmail.com,+92 5186119448,44,2.2
98K-1381,Maria,Lam,11856-4021860-9,iwilliams@gmail.com,+92 2140050527,19,3.6
40K-8425,Brent,Jones,28234-9019800-3,norrisashley@gmail.com,+92 1584093510,67,2.5
62K-7317,Theresa,Cameron,86375-8312415-6,sarah75@gmail.com,+92 8196407228,69,2.75
19K-4120,Roberto,Perez,64713-2189189-5,nicole40@gmail.com,+92 2294647075,79,2.72
31K-8060,Pamela,Smith,57351-1846855-4,rbrown@gmail.com,+92 5283361231,65,3.43
04K-5749,Suzanne,Day,99588-6921494-7,john67@gmail.com,+92 5757058040,87,3.96
80K-3562,Nicole,Jones,40587-2854362-9,robert24@gmail.com,+92 5083883438,41,2.4
90K-4680,Maria,Watson,89709-5539215-5,lauren06@gmail.com,+92 7727097466,75,3.39
25K-6374,Sarah,Lowery,64121-8063982-6,alisharodriguez@gmail.com,+92 4092475050,129,3.93
94K-9949,Anthony,Harrison,62429-7840588-7,crystal21@gmail.com,+92 5846448678,108,2.43
08K-7532,Kelly,Cox,24956-8843532-8,alisonbailey@gmail.com,+92 6271311151,52,2.9
11K-0183,Lauren,Harris,38526-0124140-8,lortiz@gmail.com,+92 0307583639,74,3.4
36K-4151,Meghan,Sanchez,87466-4882487-0,shannon52@gmail.com,+92 3199667533,60,3.33
73K-5080,Patrick,Martin,31254-4567824-3,jeffreygarcia@gmail.com,+92 7768073255,108,3.8
75K-2266,Gabrielle,Lowe,92845-6137695-2,judithcontreras@gmail.com,+92 9828482662,103,2.12
65K-4356,Seth,Ray,29744-1648049-0,angelabrewer@gmail.com,+92 7645448395,106,2.74
24K-0803,Brenda,Wells,93417-4397776-3,nolson@gmail.com,+92 0500275882,101,2.28
82K-1420,Joel,Page,93435-9077002-7,jessica04@gmail.com,+92 8341559931,33,2.1
56K-6083,Kenneth,Lee,12652-5787493-5,matthewsanchez@gmail.com,+92 5062907022,88,2.52
28K-3744,Deanna,Brown,71742-8794386-4,ynorris@gmail.com,+92 5020156529,21,3.16
14K-2975,Ian,Cook,26464-4656232-5,harrisbenjamin@gmail.com,+92 1115294540,96,3.86
31K-6921,Rodney,Wall,71818-9410514-8,churchderek@gmail.com,+92 2364862804,95,2.81
24K-8561,Kyle,Martin,89509-1100052-8,asmith@gmail.com,+92 1842217409,96,2.75
35K-4121,Juan,Hull,94457-7323926-3,tylerashley@gmail.com,+92 2304152879,17,3.78
06K-1700,Frank,Carter,94829-0502894-0,thomaslopez@gmail.com,+92 6339741165,36,2.29
12K-5637,Ashley,Chapman,92387-8405459-7,chandlererin@gmail.com,+92 0372354233,130,3.51
43K-4535,Scott,Lee,68284-0773248-2,nathaniel06@gmail.com,+92 4917885029,27,3.22
30K-4344,Richard,Mitchell,31555-1399173-6,lauren21@gmail.com,+92 3013544925,50,2.39
45K-4006,Melissa,Wolf,56016-1383189-2,brandon78@gmail.com,+92 9751924710,34,2.59
21K-8183,Franklin,Mathis,47787-3807770-1,johnowens@gmail.com,+92 8671283789,21,3.84
10K-5049,Ronald,Reese,77416-7591426-7,otorres@gmail.com,+92 5699460298,24,2.63
13K-4732,Daniel,Neal,58498-7900624-3,owilliams@gmail.com,+92 0948446482,116,3.92
36K-7390,Jessica,Collins,54932-5172689-4,jhansen@gmail.com,+92 6673018526,92,2.74
39K-9789,Robin,Harrison,44799-9836167-3,pgibson@gmail.com,+92 6831534299,66,2.6
84K-5013,Christopher,Davis,66958-2818242-7,debbie37@gmail.com,+92 4912516074,113,2.26
11K-1348,Rodney,Smith,42078-8187843-4,joel48@gmail.com,+92 0840149926,97,2.36
27K-6110,Susan,Marsh,18523-5538061-9,zcontreras@gmail.com,+92 7902304814,87,3.96
00K-4043,Benjamin,Lopez,32132-4152669-4,garywilliams@gmail.com,+92 6942931948,92,2.43
23K-2965,Lisa,Green,91502-7067553-6,jacksonchristopher@gmail.com,+92 9356126601,102,2.1
94K-7371,Crystal,White,87382-0218499-8,joerodriguez@gmail.com,+92 8770598398,113,2.9
37K-6994,Steven,Crawford,17890-0895690-3,brianrios@gmail.com,+92 8357402383,55,2.84
76K-9379,Laura,Murphy,97416-3381409-6,carmen09@gmail.com,+92 5489690140,17,2.35
